PB_DANE,Cluster,INDICADOR,Depositos_cuenta_corriente_bancaria,Total_Numero_Transacciones_corresponsal_movil,Creditos_vivienda,Total_Monto_Credito_consumo,Total_Monto_Microcredito,Cuentas_ahorro_especial,Porc_trabajos_formales,Total_Monto_Credito_vivienda,Total_Numero_Credito_consumo,Total_Numero_corresponsales_moviles,CodigoM,Municipio,Codigo_Entidad,Cobertura_edu_total,Cobertura_edu_media,Tasa_repitencia,Total_Saldo_Cuentas_Ahorro,Certificados_deposito_termino,Provision_general
5001,4,0.3132082058376441,21518165.17768711,33688.0,47272969.91109313,14623377.57006594,342432.55285798997,827701.70233102,0.6152000000000001,3833395.58787878,7340898.0,424.0,5001,MEDELLIN,5001,97.06,56.18,6.41,129671242139741.66,256628043756287.44,1536505567591.03
5031,0,0.2928846153845625,30697.76367992,0.0,47740.03605522,9556.2256586,3031.1822,122.28705412000001,0.1216,4211.532354,11528.0,4.0,5031,AMALFI,5031,71.63,28.92,7.48,60798059764.96,49900031440.51,419219613.61
5045,6,0.16807723117991588,300272.90519944,27.0,670003.47030419,248789.29358020998,29134.72642521,3885.49631195,0.29100000000000004,31254.86380285,103939.0,15.0,5045,APARTADO,5045,94.91,57.86,5.56,1133602316218.53,280486764292.02,10388052207.72
5147,0,0.21751373626365625,98236.90892133,33.0,34356.86012793,22873.70266814,10511.834181940001,341.08188999000004,0.1067,1536.978821,13105.0,9.0,5147,CAREPA,5147,94.16,45.83,7.48,144877378126.73,31908937430.54,459592921.57
5266,6,0.4399434850862857,627139.35032209,17.0,2868979.48286306,1701603.50551954,24514.10616354,81086.37584921,0.2585,191657.91967845,1094451.0,15.0,5266,ENVIGADO,5266,100.44,65.36,6.49,4751826417377.74,8997915992786.85,17984485131.87
5308,6,0.033333299999999996,31617.91086607,0.0,128103.21040145,76257.78337266001,14030.22431465,1830.11219194,0.20620000000000002,9914.013472,30189.0,0.0,5308,GIRARDOTA,5308,93.38,53.89,7.48,498735849585.14,477476809741.97,6570365785.440001
5360,6,0.45780769230762497,866123.17062698,801.0,2811040.5936865304,790218.36794724,51109.73698484,28369.75930409,0.2364,167410.71921439,492534.0,42.0,5360,ITAGUI,5360,92.28,59.78,4.08,3435727291538.06,2144944395755.78,19835086693.63
5368,0,0.0923076,7076.89750714,0.0,23721.048169830003,7609.41838699,2221.48415331,457.77825914,0.1518,938.131755,8620.0,0.0,5368,JERICO,5368,77.65,50.67,7.48,71581154284.08,118493984233.91,320584858.40999997
5380,6,0.2395124111033478,72491.88465729001,0.0,189939.11382687,62831.64682925,3386.08603478,3576.6601790299997,0.2625,11540.721517760001,77298.0,1.0,5380,LA ESTRELLA,5380,123.48,77.15,7.48,491153319764.02,160603646798.32,418994310.33
5665,0,0.13520028358729033,2150.57353533,0.0,110.144452,1164.49862591,5580.063,0.0,0.0536,260.4,937.0,0.0,5665,SAN PEDRO DE URABA,5665,96.75,56.95,7.48,26484250700.95,10289492114.93,679248617.1
5697,6,0.176923076923,59307.23932523,0.0,152765.74210123002,43634.47829827,12028.58763779,1027.92265664,0.22010000000000002,8935.934555,19353.0,0.0,5697,EL SANTUARIO,5697,93.24,64.35,7.48,538531144575.17,216444433959.84,1433228649.67
5893,0,0.11573076923065626,39047.86562247,0.0,0.0,974.22708613,3408.75748552,0.0,0.0765,0.0,3031.0,4.0,5893,YONDO,5893,85.55,29.09,7.48,15593625479.07,6002622072.49,328015846.84000003
8001,1,0.28201235580331346,9716120.41264936,17431.0,27282254.722850982,5888650.57277529,189352.65152938,148267.18662899,0.461,1482623.6508009399,6423014.0,401.0,8001,BARRANQUILLA,8001,99.26,56.12,6.89,28964477027227.53,18248868297218.79,133112087902.29
8758,0,0.314778021978,228572.26994331,8730.0,1806496.0852254299,270662.78465644,47986.28726928,4265.87550628,0.0268,115632.12944070999,245443.0,145.0,8758,SOLEDAD,8758,91.36,56.57,3.72,848654825297.96,391903324134.15,14404486248.8
13001,11,0.20822006751406535,4575069.77015502,4054.0,12246938.79308923,2958632.8453337797,137865.69410698998,66359.15558913001,0.34049999999999997,765808.63730311,2731622.0,161.0,13001,CARTAGENA,13001,109.91,60.59,6.81,21714861828591.88,7334883558759.51,55426267050.74
13248,0,0.17348076923065625,0.0,0.0,0.0,25.924885,3.6930991200000003,0.0,0.027200000000000002,0.0,42.0,0.0,13248,EL GUAMO,13248,82.25,43.0,3.13,208805.3,0.0,0.0
15455,0,0.31173333333323333,27932.80704304,0.0,18226.12231569,8671.706998829999,11336.76445694,71.44533871,0.081,539.987864,14633.0,0.0,15455,MIRAFLORES,15455,86.1,45.9,13.3,101542329171.71,53949893928.74,1016965397.71
17001,5,0.17875138722654454,2150872.4066335,109003.0,6093013.72650541,1449471.62681301,61283.13459221,51129.99611269,0.4365,283065.56529289,1070539.0,101.0,17001,MANIZALES,17001,78.41,49.99,7.84,8054594870689.95,6211795876744.15,36296211930.75
18001,6,0.5207531135530999,1130058.29407437,19580.0,822423.27141593,446710.78881261,74892.39760421001,2298.99976796,0.21989999999999998,22178.587159,299332.0,42.0,18001,FLORENCIA,18001,93.52,41.47,8.16,2114394556363.38,650767077339.71,7921587492.43
19001,8,0.2570867038718,1850401.04685264,1072.0,3391669.46782572,957112.55563909,163327.50352248998,31212.23620445,0.3948,188685.68947854,552557.0,54.0,19001,POPAYAN,19001,105.07,60.27,7.65,10368879582176.41,5333774639594.82,109023750573.90999
19318,0,0.0923076923076,18418.21781835,0.0,823.282513,1014.77971,5254.033,0.0,0.0666,0.0,388.0,4.0,19318,GUAPI,19318,83.69,23.45,10.61,57136212473.87,19392866732.86,501065472.83
20013,0,0.2344322344322,31267.870413320004,2585.0,53475.258052260004,18120.06750066,18471.841948,86.04845802,0.1035,2783.028324,15660.0,7.0,20013,AGUSTIN CODAZZI,20013,103.29,36.86,9.42,150466824379.6,76173025411.39,1300777381.31
23079,0,0.12997347480093102,3208.7645094,0.0,1505.795169,860.7409774700001,4705.885,0.0,0.0424,60.40981,1044.0,0.0,23079,BUENAVISTA,23079,87.22,42.99,7.59,6775272391.32,2144471818.08,485187831.82
23466,0,0.17162991846858064,180077.2519991,849.0,84866.94425801,63086.378388590005,31265.91771705,3241.08624744,0.12,4136.987513,15514.0,17.0,23466,MONTELIBANO,23466,94.63,48.02,7.59,443228343294.57,231863502782.65,2582333910.7799997
23555,0,0.19230763333333334,88017.26704514,1023.0,81506.28008713,44394.06217236,25508.93694229,48.70071299,0.0809,5349.310704,10630.0,4.0,23555,PLANETA RICA,23555,97.67,59.61,7.59,419492604617.65,177305866157.49,1698064518.73
23807,0,0.20855091575081905,22942.18098094,913.0,1506.26062,1503.87798923,16564.962879,0.0,0.0296,295.08,3535.0,12.0,23807,TIERRALTA,23807,100.6,49.84,7.59,38319091229.43,17078059632.31,1308010919.48
25175,6,0.43846153846159996,527171.92543275,357.0,2404869.65310484,876436.3020102701,45961.30538767,48033.36880632,0.3005,181691.62985516,722469.0,34.0,25175,CHIA,25175,109.32,63.87,9.05,7073496083063.29,6297427200687.88,10867398075.99
25286,6,0.4307692,219902.76285029002,0.0,998213.7198033199,140908.29266108,45989.60822947,7165.02708819,0.2615,73330.63012544,170386.0,2.0,25286,FUNZA,25286,99.98,66.7,6.65,1394094694985.34,550522920746.72,4979170861.39
25473,6,0.28076923076895,272879.32704466,321.0,911964.30858156,270606.6721497,1890.52290195,11049.11420143,0.209,49780.30909755,255819.0,42.0,25473,MOSQUERA,25473,101.02,58.03,7.81,1792150908115.18,814363016700.24,2663158993.4
25513,0,0.40431062271056667,42229.0035899,0.0,124723.19863534,31694.11619859,7809.726578399999,48.9106916,0.0941,10756.737203,20988.0,4.0,25513,PACHO,25513,90.52,48.24,5.19,330114399204.53,192039221401.33,1187975436.55
25612,0,0.33454545454536366,0.0,0.0,0.0,2655.5606197399998,309.82834253999994,0.0,0.1116,0.0,10482.0,0.0,25612,RICAURTE,25612,69.92,26.13,5.19,3110941959.6800003,0.0,0.0
25658,0,0.33200932400927274,1887.9956431,0.0,0.0,1560.39924721,1183.63968274,0.0,0.0983,0.0,2459.0,0.0,25658,SAN FRANCISCO,25658,79.28,48.78,5.19,27102908487.239998,10637884574.01,179457358.72
25754,10,0.38861263736259377,327012.04987927,39891.0,5823234.88247528,436487.27644746995,54357.65812151,12154.96699958,0.055,82175.36713467,555282.0,330.0,25754,SOACHA,25754,90.86,51.61,4.72,2560568038205.59,1342905291706.1501,26322636567.98
25843,6,0.42699751861041935,221119.80559314002,17.0,217020.52846347,68148.0475178,59576.45855321,3973.6998053899997,0.2401,14150.42919547,29702.0,8.0,25843,UBATE,25843,99.14,59.95,5.19,768072054035.51,535656662864.54,3389926609.31
27001,6,0.18722127255453086,366876.63320188003,0.0,184224.24633916002,219604.64563013,45341.40623497,9244.47629432,0.2865,7025.72632891,76830.0,4.0,27001,QUIBDO,27001,102.06,45.72,7.68,2761482874689.11,670236692363.51,5227873371.35
41001,3,0.4040879120877857,2631561.66743922,72455.0,5127675.19725998,1286090.30873352,121345.57183684,77741.46542796,0.3669,209106.5345799,955766.0,190.0,41001,NEIVA,41001,93.5,49.53,9.61,8331143667955.93,3245056187626.32,32805333806.25
41020,0,0.1785846153845667,7787.91774217,0.0,2255.879797,700.36424936,9660.9042181,0.0,0.0258,204.0,1750.0,0.0,41020,ALGECIRAS,41020,84.99,37.25,4.23,36983639722.0,3903062870.07,1245904249.46
41551,6,0.2076923076921,205302.10447298002,4647.0,727808.11186451,167545.58091485998,102678.59319595,3471.03049368,0.1348,59637.164357,114218.0,40.0,41551,PITALITO,41551,99.46,45.11,7.33,1308336703732.55,402594926186.09,5261425144.08
47001,3,0.22081487743017308,1693261.80741677,13186.0,5080374.02885394,1345507.8236426201,79245.97043172001,23294.67045603,0.3191,184851.48021448002,1825226.0,196.0,47001,SANTA MARTA,47001,103.7,50.98,3.88,7518722477291.76,3109057203387.28,27413407102.0
47288,0,0.26257071960290324,97209.59103869,0.0,173238.3623764,41209.502485699995,14877.10045299,39.98013721,0.1333,5701.510931,27591.0,4.0,47288,FUNDACION,47288,98.51,44.09,3.66,207136876285.6,148788530781.54,875466561.62
50001,3,0.47616923076917506,3337232.29142271,49562.0,5801079.57866091,1566326.53258032,142146.67586252,54802.54215525,0.3653,280833.61987627,1048590.0,168.0,50001,VILLAVICENCIO,50001,92.6,52.31,7.49,12373306756563.36,3737245753766.04,31795459461.3
50006,6,0.4041133603237895,298492.11375836,1075.0,384068.65985025,147639.59916679998,46449.57907134,8513.937756020001,0.2729,14352.658063,70723.0,15.0,50006,ACACIAS,50006,100.31,55.57,8.28,1088428699752.86,482426888107.1,2272336076.59
50318,0,0.34507390909090907,33826.981836830004,0.0,16317.03503747,15703.02268443,14724.35275733,630.13250038,0.1449,362.95671,5198.0,0.0,50318,GUAMAL,50318,109.61,64.73,8.28,70672492971.29,40010260270.82,663896581.57
50330,0,0.43587947536332255,5085.14654337,0.0,0.0,588.4507174,6920.5508,0.0,0.031,0.0,416.0,0.0,50330,MESETAS,50330,81.94,29.76,8.28,61580615150.93,2115298135.12,941545845.65
52001,8,0.18150176164789406,2594213.72809735,6813.0,4232465.10464554,1252845.69348699,255472.09770545998,47554.93589124,0.25489999999999996,201633.18436060002,639698.0,43.0,52001,PASTO,52001,100.24,62.82,9.1,9674472980452.94,6188694379423.17,53331349361.94
52233,0,0.30754578754563333,3690.27842716,0.0,0.0,263.04451,3209.824,0.0,0.0248,0.0,67.0,0.0,52233,CUMBITARA,52233,134.61,56.72,2.46,11450435607.29,10465380143.66,441505271.78999996
